inf_prob,diag_prob,i0,behaviour_change,behaviour_change_rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total_immunized,LL
0.38,0.37,13.0,0.6,5e-05,13.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13866.0,-inf
0.17,0.25,12.0,0.7,0.0005,12.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13857.0,-inf
0.21,0.41,10.0,0.3,0.005,10.0,1.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13865.0,-inf
0.12,0.38,15.0,0.3,0.005,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13863.0,-inf
0.88,0.32,14.0,0.2,0.1,14.0,148.0,1566.0,4697.0,5297.0,3493.0,2016.0,1116.0,599.0,319.0,142.0,90.0,54.0,29.0,9.0,9.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26135.0,-inf
0.95,0.24,11.0,0.8,0.05,11.0,1735.0,13468.0,9614.0,4091.0,1658.0,730.0,343.0,137.0,74.0,25.0,10.0,5.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34085.0,-inf
0.58,0.25,5.0,0.2,0.5,5.0,7.0,3.0,9.0,8.0,40.0,67.0,124.0,137.0,241.0,312.0,421.0,518.0,468.0,469.0,408.0,367.0,305.0,243.0,171.0,100.0,62.0,44.0,32.0,18.0,8.0,16875.0,-4439.971739015071
0.89,0.4,8.0,0.9,0.1,8.0,122.0,1825.0,5949.0,6062.0,3771.0,2092.0,1069.0,624.0,289.0,139.0,80.0,43.0,17.0,10.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27374.0,-inf
0.04,0.31,10.0,0.2,0.001,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13857.0,-inf
0.69,0.34,6.0,0.5,5e-05,6.0,19.0,39.0,132.0,274.0,626.0,1148.0,1706.0,2043.0,1999.0,1393.0,949.0,559.0,333.0,200.0,120.0,52.0,31.0,19.0,8.0,3.0,2.0,2.0,0.0,1.0,0.0,20424.0,-1223.2117983521196
0.42,0.26,5.0,0.5,0.0005,5.0,6.0,7.0,9.0,18.0,13.0,20.0,18.0,13.0,17.0,11.0,8.0,5.0,10.0,6.0,8.0,6.0,6.0,6.0,8.0,5.0,10.0,15.0,18.0,15.0,13.0,14009.0,-4231.668132306653
0.88,0.32,15.0,0.9,0.05,15.0,111.0,891.0,4241.0,6058.0,4423.0,2559.0,1416.0,752.0,425.0,214.0,88.0,45.0,26.0,12.0,8.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26861.0,-inf
0.1,0.28,12.0,0.8,0.005,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13860.0,-inf
0.28,0.3,14.0,0.4,0.05,14.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13860.0,-inf
0.09,0.24,7.0,0.8,0.1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13854.0,-inf
0.26,0.32,8.0,0.1,0.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13857.0,-inf
0.24,0.32,6.0,0.2,0.001,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13855.0,-inf
0.01,0.34,11.0,0.5,0.01,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13860.0,-inf
0.71,0.26,10.0,0.8,0.5,10.0,45.0,110.0,260.0,649.0,1191.0,1603.0,1729.0,1466.0,1140.0,746.0,445.0,286.0,150.0,95.0,53.0,29.0,19.0,8.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,19839.0,-566.9221426686445
0.76,0.38,9.0,0.5,0.1,9.0,21.0,98.0,302.0,763.0,1535.0,2065.0,2081.0,1657.0,1071.0,729.0,411.0,224.0,140.0,65.0,42.0,31.0,14.0,14.0,3.0,6.0,1.0,2.0,0.0,0.0,0.0,20592.0,-1298.1813666548617
0.08,0.4,9.0,0.1,0.0005,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13855.0,-inf
