inf_rate,diag_prob,i0,behaviour_change,behaviour_change_rate
0.7283969837252781,0.1272854161436674,14.0,0.0,0.0
0.6745327913204409,0.11555482994030276,15.0,0.0,0.0
0.7101003219349096,0.1482508493373872,10.0,0.0,0.0
0.755935386814297,0.13600472880158768,7.0,0.0,0.0
0.643743905378116,0.1995843208381856,12.0,0.0,0.0
0.6932252750593758,0.1477496548538936,11.0,0.0,0.0
0.6692744019020922,0.16524168284340446,15.0,0.0,0.0
0.6997947892571604,0.11527808718243494,9.0,0.0,0.0
0.6987483263590979,0.1581039776174793,12.0,0.0,0.0
0.6917446220529707,0.14267714678163046,13.0,0.0,0.0
0.7239789007720013,0.11730987813606762,14.0,0.0,0.0
0.7368044212396392,0.0880551918329789,9.0,0.0,0.0
0.68284030943664,0.1362358140178927,9.0,0.0,0.0
0.7195408074720107,0.10477829298092874,12.0,0.0,0.0
0.7313470581525394,0.10737697690299573,14.0,0.0,0.0
0.730507169926058,0.12126288867777658,10.0,0.0,0.0
0.6328251826698222,0.18250812061590518,8.0,0.0,0.0
0.656128521885314,0.20950329557757685,12.0,0.0,0.0
0.6795019468405257,0.18849768648373338,14.0,0.0,0.0
0.6335160998573369,0.19422184094589273,8.0,0.0,0.0
0.6984990313159991,0.12410008953270898,11.0,0.0,0.0
0.7105432418574736,0.1371911976036688,8.0,0.0,0.0
0.6614555106842104,0.1488279885413436,13.0,0.0,0.0
0.6968061997385602,0.07340565018276954,9.0,0.0,0.0
0.6671758151252394,0.1394139745558269,11.0,0.0,0.0
0.6829501865234394,0.1660086827536465,12.0,0.0,0.0
0.7095845318133315,0.1530607457731053,13.0,0.0,0.0
0.6744665673762169,0.1780301636295274,11.0,0.0,0.0
0.7280898150205517,0.0962111571083603,18.0,0.0,0.0
0.6434790317808302,0.1741075037941729,13.0,0.0,0.0
0.6119577284675128,0.1527843917149953,17.0,0.0,0.0
0.6424071757750422,0.16190314837641157,11.0,0.0,0.0
0.6860535067327964,0.163543500861541,16.0,0.0,0.0
0.7217286718876698,0.15009736123051978,13.0,0.0,0.0
0.6041129568159653,0.16149502489341142,17.0,0.0,0.0
0.7164640428118425,0.15506351837708693,12.0,0.0,0.0
0.736585900739738,0.10058209468059347,11.0,0.0,0.0
0.7117766018500188,0.15471876694561149,19.0,0.0,0.0
0.6297606522415415,0.11105611351003683,9.0,0.0,0.0
0.6380480675931922,0.10577038681436096,16.0,0.0,0.0
0.6561848162665999,0.09045834788350995,12.0,0.0,0.0
0.6714859763942386,0.14496432168384318,14.0,0.0,0.0
0.6369153902545477,0.10818858885790138,15.0,0.0,0.0
0.7290047862378398,0.10693571214169265,18.0,0.0,0.0
0.630440774622992,0.16331739725022154,16.0,0.0,0.0
0.6456680845615241,0.21562605240351587,13.0,0.0,0.0
0.6873457312403768,0.1043901880589721,14.0,0.0,0.0
0.6735246948553526,0.15683865639680394,14.0,0.0,0.0
0.6404899756193703,0.17060301298882807,17.0,0.0,0.0
0.6752399342993403,0.11929667793766192,11.0,0.0,0.0
0.659538258370702,0.1727896647870034,10.0,0.0,0.0
0.678090681137669,0.14770267989838054,17.0,0.0,0.0
0.7060205311917006,0.1270648550051044,18.0,0.0,0.0
0.66731695761886,0.11956033686999869,10.0,0.0,0.0
0.654389550936878,0.17584982711424596,11.0,0.0,0.0
0.7099110428666427,0.14022643928340278,14.0,0.0,0.0
0.6801069913263434,0.17897980115809364,15.0,0.0,0.0
0.6613615485073051,0.18019325764660363,8.0,0.0,0.0
0.6813671940896552,0.11625467132027237,11.0,0.0,0.0
0.6813476993264008,0.2080312927749518,13.0,0.0,0.0
0.728679542040218,0.08068201313787428,10.0,0.0,0.0
0.6882847937717925,0.18862872752175003,10.0,0.0,0.0
0.6940711166240977,0.1253746259805656,15.0,0.0,0.0
0.6261450757224934,0.1769447368582283,10.0,0.0,0.0
0.7000848340957623,0.22511599808491242,11.0,0.0,0.0
