State,Mean,Q0.025,Q0.975
Recovered,12.375128659601838,10.844698117654982,13.580580530019867
Diagnosed,3.038120918714918,2.815183351853723,3.2687645216688552
Immunized,37.409914730856244,36.426827625686094,38.15351719028858
Contact reduced,22.368403391739083,22.184900831733845,22.451762804323668
