number of infection trees,mean,Q0.025,Q0.975
1,37.465720300394516,20.391060948577042,67.96694220520095
2,58.55553376624952,37.384732570137885,86.20250937624591
3,73.12129890434768,51.96533261693942,95.6089298701664
4,83.059021772711,62.93054804787377,98.71724777892867
5,89.5725374353052,73.13881325734792,99.81791999981202
