Contact bin,Model mean,Model Q0.025,Model Q0.975,SP mean,SP Q0.025,SP Q0.975
1,0.06971203368796554,0.05802531843400797,0.08003829022427131,0.13008130081300814,0.07621694105286135,0.20263435143663724
2,0.12421950692003497,0.10013829519738496,0.14000502891626854,0.11627906976744186,0.05719111739822427,0.20346244992374016
3,0.15993224202179426,0.13057684550221862,0.18157523194836628,0.13513513513513514,0.06675098126268339,0.23450980079495418
4,0.1733872768355527,0.14565772669220947,0.20633780332056192,0.16071428571428573,0.07621874392501367,0.28327970816139125
5-7,0.28419014888688293,0.2431015329926683,0.3182959342368362,0.15151515151515152,0.0751246299393056,0.26104107128930165
8-10,0.3646255765055521,0.3162278015921617,0.4166870789957134,0.3023255813953488,0.17182499248521346,0.46125330573440304
11-20,0.5223621241082625,0.4672599059771659,0.570785762256548,0.3469387755102041,0.21672437810748105,0.49638719771970474
21-30,0.6894183660650727,0.6360279441117764,0.7483033932135728,0.2631578947368421,0.0914657849072035,0.5120293453458727
31-40,0.8445714869072534,0.7993917274939173,0.8916058394160584,0.25,0.006309463209709889,0.8058795503167566
41-50,0.9022890549086449,0.8691343963553531,0.9428246013667425,0.5,0.01257911709367899,0.987420882906321
50+,0.9277067759826381,0.9001149425287356,0.9596551724137931,0.5,0.11811724875702524,0.8818827512429748
