contacts,counts,log 10 counts
0,21150,4.325310371711061
1,12797,4.107108169948554
2,7954,3.9005855866499615
3,4958,3.6953065224318027
4,3132,3.495821753385906
5,2055,3.312811826212088
6,1420,3.1522883443830563
7,1026,3.0111473607757975
8,711,2.851869600729766
9,526,2.7209857441537393
10,396,2.597695185925512
11,308,2.4885507165004443
12,226,2.3541084391474008
13,196,2.292256071356476
14,166,2.220108088040055
15,140,2.146128035678238
16,115,2.060697840353612
17,98,1.9912260756924949
18,89,1.9493900066449128
19,85,1.9294189257142926
20,66,1.8195439355418688
21,57,1.7558748556724915
22,66,1.8195439355418688
23,51,1.7075701760979363
24,60,1.7781512503836436
25,58,1.7634279935629373
26,43,1.6334684555795864
27,36,1.5563025007672873
28,32,1.505149978319906
29,51,1.7075701760979363
30,47,1.6720978579357175
31,44,1.6434526764861874
32,34,1.5314789170422551
33,48,1.6812412373755872
34,46,1.662757831681574
35,35,1.5440680443502757
36,47,1.6720978579357175
37,35,1.5440680443502757
38,37,1.568201724066995
39,38,1.5797835966168101
40,47,1.6720978579357175
41,48,1.6812412373755872
42,42,1.6232492903979006
43,45,1.6532125137753437
44,38,1.5797835966168101
45,34,1.5314789170422551
46,58,1.7634279935629373
47,47,1.6720978579357175
48,41,1.6127838567197355
49,43,1.6334684555795864
50,43,1.6334684555795864
51,44,1.6434526764861874
52,39,1.591064607026499
53,39,1.591064607026499
54,48,1.6812412373755872
55,40,1.6020599913279623
56,43,1.6334684555795864
57,54,1.7323937598229686
58,41,1.6127838567197355
59,44,1.6434526764861874
60,37,1.568201724066995
