t,R_t mean,R_t Q0.025,R_t Q0.975,Contact mean,Contact Q0.025,Contact Q0.975,STD mean,STD Q0.025,STD Q0.975,Contacts immune mean,Contact immune Q0.025,Contact immune Q0.975
18.0,2.137371566394867,1.1907181613054345,3.1356220195108766,100.00000000000003,100.0,100.0,,,,0.0,0.0,0.0
19.0,2.4341726614913393,1.9100052556313556,2.9379478642442094,97.54203668890322,92.67618090338064,99.70020472013563,,,,0.016226411643709616,0.0,0.060266099464618465
20.0,2.3003890866132304,1.9752322627526415,2.610508377318046,91.67640346125168,78.28921017909775,99.07166087070733,0.3381294964028777,0.26013251677022853,0.4231903501610085,0.1367530051569708,0.04398445930669136,0.24586466070820925
21.0,2.0676724127554675,1.790543074615546,2.3547860792044704,78.20687903672187,59.93376764559641,95.76047389803595,,,,0.49412244832772056,0.26861950999557443,0.8502050423604526
22.0,1.7931036743531807,1.5824245733667166,2.0422637556294885,63.186567420293116,50.38874261882968,87.03788363609935,,,,1.5093283291102897,0.9612990738617981,2.2877127821239096
23.0,1.5882791842603206,1.4655963248821493,1.7491253021278164,55.60771255292013,49.6133043296895,72.19442798464232,,,,3.914592685221821,2.791627349317642,5.194762623078477
24.0,1.3883353319765388,1.307351586069439,1.4825493097450961,52.64062847775,49.2633880326315,61.075271316174906,,,,8.527699069025942,6.538062293933904,10.731565396453336
24.2,,,,,,,0.1746031746031746,0.11277775650851132,0.2523313682676928,,,
25.0,1.1894375997515456,1.1046284094370373,1.272199513730214,51.898026472717376,49.3816028056145,58.64608190960051,,,,15.876350225543199,12.687187281400366,19.48139434367901
26.0,1.0143766195926838,0.9290025471105696,1.0981887960440808,52.50486117870158,49.816775473323816,59.11322743361184,,,,24.945585042250226,20.54765195067386,29.297958270501006
27.0,0.8738210291732887,0.8006057560772057,0.9691971827420686,53.77675594584774,50.74090061679155,60.505094995411625,,,,34.140994964156484,29.34870010446879,38.75313593200364
28.0,0.7359863866151456,0.6621190730019705,0.8215457193345558,55.44603811491237,52.292230450443796,62.13081844257554,,,,44.24256480893159,39.22918206576385,48.22182352391743
28.4,,,,,,,0.183206106870229,0.12105277418884118,0.2602199290295185,,,
29.0,0.6412050969175782,0.5769740492819041,0.7220732372745601,57.220581608141416,54.01497953362351,63.70047655680335,,,,51.80091230851217,47.26058659025049,54.98406951857632
30.0,0.5737316559527467,0.5119463175537732,0.6613916631191484,58.88434674642342,55.80820535902067,64.97290667175696,,,,57.25695215664794,53.18095683185356,59.96828996522705
31.0,0.5242582073651021,0.47262110397411244,0.5971861683419829,60.38858374502235,57.39652375492047,66.61409531303624,,,,61.24909428214942,57.583183046012564,63.69770716647256
32.0,0.5030122011721401,0.43149716635126045,0.5941905633523037,61.759784569362594,58.62646451074261,67.82882746221725,,,,63.56158228171985,60.25582122800627,65.66553421553161
32.6,,,,,,,0.26811594202898553,0.1963263376693104,0.3501362675834444,,,
33.0,0.4936688216868126,0.408433936649882,0.5902693712548868,62.99992322064794,59.93867261218089,68.93176484405296,,,,65.29310463020484,62.16475303312519,67.20246862395291
34.0,0.48148250321201097,0.40056861062671006,0.5735308601302532,64.13298617882371,61.20497286936555,69.78885931805839,,,,66.71309606501197,63.84101861623602,68.45268213381735
35.0,0.47399128910970667,0.3936985145176562,0.5843454880530268,65.23176892052015,62.374132809054736,70.64418754611141,,,,67.9174778695929,65.34290977699914,69.63012821342957
36.0,0.47843335589102665,0.3410143866869523,0.6442684749554638,66.27074334113323,63.46924592658194,71.47404008468008,,,,69.0090813926599,66.55076588268449,70.5935937957639
36.8,,,,,,,0.21641791044776118,0.14998471579975542,0.29579878443739277,,,
37.0,0.47456598003140227,0.32281260980910514,0.6908731958504364,67.27955671087675,64.58237531490624,72.42238766492622,,,,70.18666249611584,67.8285242719034,71.6465979752212
38.0,0.4620587507519633,0.28159526102814036,0.7108897983938742,68.2562663741624,65.60530805934715,73.11023354416855,,,,71.34940653253436,69.18651594041229,72.74107517499615
39.0,0.4333947031300283,0.22175931938685733,0.7156626610559311,69.24587062191385,66.57719679567732,73.83171204134115,,,,72.49749062207293,70.34212906026313,73.76976163337089
40.0,0.41324139088469264,0.1590545224880657,0.7900867758830689,70.21262631826643,67.667505728987,74.5548523060121,,,,73.67991323838778,71.57824951145847,74.90565062502087
41.0,0.404552877204656,0.10459762957360637,0.8996509212797831,71.13807297329733,68.5991905572035,75.38780456827661,0.27350427350427353,0.1951896401231046,0.36363593456958654,74.56957846215332,72.57918998152975,75.75055845034588
42.0,0.3645465039058027,0.0716467719825487,1.2011862028807208,72.05834231395873,69.54885535803827,76.05715914450073,,,,75.47490395235195,73.47283214312434,76.57831215108992
43.0,0.32069590933653525,0.0,1.3682852528140257,72.94113009605178,70.40153612190026,76.82705436983423,,,,75.6526707616607,73.68871448855624,76.71320546429256
