percentage population,mean,Q0.025,SP Q0.975
1,0.02061002606512254,0.0016836717513553556,0.06734687005421423
2,0.02198969498696744,0.0016836717513553556,0.0723978853082803
3,0.022305000787675805,0.0016836717513553556,0.0723978853082803
4,0.0246325886794621,0.0016836717513553556,0.08586725931912315
5,0.029344632536874176,0.0016836717513553556,0.09765296157861063
6,0.031041255609393803,0.0033673435027107112,0.09933663332996599
7,0.029342866447624506,0.0033673435027107112,0.09933663332996599
8,0.03235345992190118,0.0033673435027107112,0.10943866383809812
9,0.0338025950208999,0.0033673435027107112,0.1212243660975856
10,0.034236817497752946,0.0033673435027107112,0.1262753813516517
11,0.08747828593267526,0.0050510152540660675,0.35188739603326935
12,0.2448159982254335,0.0067346870054214225,0.9731622722833957
13,0.8892977581734022,0.010102030508132135,2.7014934168434515
14,2.566282271454511,0.023571404518974978,4.786678789103276
15,4.9106112764563115,0.9058154022291814,6.731319661918713
16,7.082431509292808,4.885931238845674,8.4697528369869
17,9.070852792693383,7.748257399737348,10.081026703033976
18,10.917869903272468,9.727371451661783,11.770549213725293
19,12.719359823259207,11.487692359497592,13.546023167323298
