t,Model mean,Q0.025_x,Q0.025_y
0.0,0.0,0.0,0.0
1.0,1.7972027972027973,0.0,4.449999999999989
2.0,5.195804195804196,1.0,10.0
3.0,16.6013986013986,8.55,27.0
4.0,40.95104895104895,26.1,57.44999999999999
5.0,81.11888111888112,62.0,102.0
6.0,141.51048951048952,115.55,175.45
7.0,200.7062937062937,170.65,237.79999999999995
8.0,226.5174825174825,195.1,267.9
9.0,237.1818181818182,203.1,270.9
10.0,216.979020979021,185.55,245.45
11.0,178.85314685314685,148.1,205.89999999999998
12.0,140.12587412587413,115.2,168.45
13.0,98.75524475524476,76.0,118.44999999999999
14.0,71.58041958041959,52.2,88.0
15.0,48.06993006993007,35.0,66.89999999999998
16.0,34.28671328671329,21.55,44.44999999999999
17.0,20.6013986013986,12.0,31.0
18.0,13.41958041958042,7.550000000000001,21.0
19.0,8.587412587412587,3.0,14.0
20.0,8.132867132867133,3.5500000000000003,12.0
21.0,5.244755244755245,2.0,9.449999999999989
22.0,3.300699300699301,0.0,7.0
23.0,2.370629370629371,0.0,5.0
24.0,1.5244755244755244,0.0,4.0
25.0,1.048951048951049,0.0,3.4499999999999886
