t,Earliest contact,Latest contact,Model
0.0,0.0,0.0,0.0
0.0,0.0,0.13333333333333333,0.0
1.0,,0.2,0.1331221002498184
2.0,0.06666666666666667,0.26666666666666666,0.248522706924714
3.0,0.13333333333333333,0.3333333333333333,0.3485609424689444
4.0,0.2,0.36666666666666664,0.4352818779922407
5.0,0.23333333333333334,0.39999999999999997,0.5104583404430468
6.0,0.3,0.5333333333333333,0.57562715432305
7.0,0.4,0.6333333333333333,0.6321205588285577
8.0,0.43333333333333335,0.6666666666666666,0.6810934426760296
9.0,0.5333333333333333,0.7333333333333333,0.7235469533704355
10.0,0.5666666666666667,0.7666666666666666,0.7603489635582241
11.0,0.6666666666666666,0.8666666666666666,0.7922518128563991
12.0,0.7333333333333333,0.8999999999999999,0.8199076878520476
13.0,0.7999999999999999,,0.8438819546840289
14.0,0.8333333333333333,,0.8646647167633873
15.0,0.8666666666666666,0.9333333333333332,0.8826808339057493
16.0,,,0.8982986076957732
17.0,,,0.9118373106376425
18.0,,,0.9235737130092319
19.0,0.8999999999999999,0.9999999999999999,0.9337477408477383
20.0,,,0.9425673807323827
21.0,,,0.950212931632136
22.0,0.9666666666666666,,0.9568406907385474
23.0,,,0.9625861486327634
24.0,0.9999999999999999,,0.9675667591052045
25.0,1.0,1.0,0.971884340251028
