number simulation,only vaccination,only infection,infection + vaccination
0,0.01683671751355356,0.05724483954608209,0.00841835875677678
1,3.4515270902784794,0.06734687005421423,0.0067346870054214225
2,4.226016095901943,0.06566319830285887,0.043775465535239255
3,0.0050510152540660675,0.1027039768326767,0.01683671751355356
4,1.4260699733979862,0.010102030508132135,0.0050510152540660675
5,3.459945449035256,0.043775465535239255,0.0033673435027107112
6,3.776475738290063,0.09260194632454456,0.06229585480014816
7,3.333670067683604,0.037040778529817825,0.037040778529817825
8,3.766373707781931,0.05387749604337138,0.013469374010842845
9,0.03872445028117318,0.028622419773041044,0.0151530457621982
10,3.473414823046099,0.0151530457621982,0.018520389264908912
11,3.441425059770347,0.010102030508132135,0.0151530457621982
12,3.1501498467858706,0.02693874802168569,0.013469374010842845
13,3.8589756541064753,0.07913257231370173,0.028622419773041044
14,0.02020406101626427,0.15489780112469273,0.0050510152540660675
15,2.862241977304105,0.021887732767619628,0.02020406101626427
16,3.023874465434219,0.035357106778462474,0.0050510152540660675
17,1.1903559282082365,0.06903054180556958,0.00841835875677678
18,3.7091288682358488,0.00841835875677678,0.02020406101626427
19,3.8421389365929217,0.010102030508132135,0.011785702259487489
20,3.6215779371653705,0.10943866383809812,0.0033673435027107112
21,3.7141798834899147,0.02525507627033034,0.037040778529817825
22,3.48014951005152,0.00841835875677678,0.013469374010842845
23,3.877496043371384,0.02693874802168569,0.037040778529817825
24,3.626628952419436,0.018520389264908912,0.052193824292016036
25,2.385762871670539,0.1212243660975856,0.011785702259487489
26,3.872445028117318,0.0420917937838839,0.045459137286594606
27,3.6788227767114523,0.06397952655150352,0.02020406101626427
28,4.342189446745462,0.06903054180556958,0.0050510152540660675
29,3.4919352123110077,0.08081624406505708,0.037040778529817825
30,1.2408660807488971,0.043775465535239255,0.021887732767619628
31,3.917904165403913,0.035357106778462474,0.013469374010842845
32,2.1786712462538302,0.011785702259487489,0.03198976327575176
33,4.087955012290804,0.1599488163787588,0.0050510152540660675
34,4.746270667070748,0.07071421355692495,0.0151530457621982
35,4.4078526450483215,0.037040778529817825,0.02693874802168569
36,0.010102030508132135,0.058928511297437446,0.013469374010842845
37,4.018924470485234,0.07744890056234636,0.023571404518974978
38,1.4344883321547632,0.028622419773041044,0.010102030508132135
39,3.9650469744418633,0.08249991581641243,0.010102030508132135
40,4.200761019631613,0.12290803784894097,0.018520389264908912
41,3.6704044179546758,0.11617335084351955,0.01683671751355356
42,3.2494864801158365,0.0606121830487928,0.0067346870054214225
43,3.697343165976361,0.08923460282183386,0.02020406101626427
44,2.375660841162407,0.09596928982725528,0.1262753813516517
45,3.724281913998047,0.14311209886520526,0.035357106778462474
46,3.808465501565815,0.043775465535239255,0.0067346870054214225
47,4.183924302118059,0.0606121830487928,0.00841835875677678
48,3.830353234333434,0.2845405259790551,0.035357106778462474
49,4.25968953092905,0.1447957706165606,0.03872445028117318
50,4.928107216217127,0.2542344344546587,0.04040812203252854
51,4.577903491935213,0.045459137286594606,0.0151530457621982
52,3.3370374111863152,0.03872445028117318,0.021887732767619628
53,4.396066942788834,0.29800989998989796,0.043775465535239255
54,4.598107552951477,0.03198976327575176,0.05724483954608209
55,4.54591372865946,0.052193824292016036,0.018520389264908912
56,3.8859144021281615,0.10607132033538741,0.023571404518974978
57,3.262955854126679,0.03198976327575176,0.047142809037949956
58,3.091221335488433,0.08586725931912315,0.058928511297437446
59,4.047546890258276,0.29295888473583187,0.0050510152540660675
60,2.6719870694009495,0.01683671751355356,0.0151530457621982
61,3.269690541132101,0.0303060915243964,0.0016836717513553556
62,2.6669360541468836,0.09260194632454456,0.02020406101626427
63,0.02693874802168569,0.058928511297437446,0.0067346870054214225
64,3.2174967168400848,0.07913257231370173,0.03872445028117318
65,3.183823281812978,0.21550998417348552,0.02525507627033034
66,2.823517527022932,0.10943866383809812,0.010102030508132135
67,3.353874128699869,0.05724483954608209,0.035357106778462474
68,3.1720375795534905,0.018520389264908912,0.018520389264908912
69,3.1114253965046976,0.023571404518974978,0.010102030508132135
70,4.23780179816143,0.08755093107047851,0.0420917937838839
71,3.6400983264302793,0.010102030508132135,0.023571404518974978
72,4.02060814223659,0.052193824292016036,0.05387749604337138
73,4.6300973162272285,0.1330100683570731,0.0303060915243964
74,4.076169310031316,0.04040812203252854,0.05556116779472674
75,2.55581371855743,0.052193824292016036,0.013469374010842845
76,3.591271845640974,0.06229585480014816,0.018520389264908912
77,4.66208707950298,0.05724483954608209,0.0151530457621982
78,4.593056537697411,0.07071421355692495,0.0303060915243964
79,3.185506953564333,0.052193824292016036,0.05051015254066068
80,4.490352560864734,0.11785702259487489,0.018520389264908912
81,4.042495875004209,0.07913257231370173,0.013469374010842845
82,3.5895881738896183,0.19698959490857662,0.011785702259487489
83,4.072801966528605,0.02020406101626427,0.03367343502710712
84,3.6047412196518165,0.03198976327575176,0.02525507627033034
85,4.40448530154561,0.05387749604337138,0.16499983163282486
86,4.08963868404216,0.24076506044381588,0.028622419773041044
87,4.246220156918207,0.07576522881099101,0.02693874802168569
88,4.096373371047581,0.13637741185978383,0.0151530457621982
89,3.2562211671212578,0.08923460282183386,0.0050510152540660675
90,3.8152001885712363,0.03872445028117318,0.02525507627033034
91,3.4245883422567935,0.1599488163787588,0.037040778529817825
92,3.1501498467858706,0.05051015254066068,0.01683671751355356
93,2.338620062632589,0.028622419773041044,0.0303060915243964
94,3.138364144526383,0.09091827457318921,0.03198976327575176
95,4.126679462571977,0.07071421355692495,0.0050510152540660675
96,3.4532107620298347,0.03367343502710712,0.03367343502710712
97,3.5424453648516687,0.021887732767619628,0.0151530457621982
98,3.545812708354379,0.047142809037949956,0.010102030508132135
99,3.6400983264302793,0.028622419773041044,0.01683671751355356
100,3.481833181802876,0.11785702259487489,0.0050510152540660675
101,3.852240967101054,0.09596928982725528,0.018520389264908912
102,4.675556453513823,0.12459170960029632,0.028622419773041044
103,0.011785702259487489,0.011785702259487489,0.010102030508132135
104,3.912853150149847,0.15489780112469273,0.013469374010842845
105,4.976933697006432,0.048826480789305314,0.03198976327575176
106,4.768158399838367,0.047142809037949956,0.018520389264908912
107,4.069434623025895,0.037040778529817825,0.0067346870054214225
108,4.252954843923629,0.0841835875677678,0.04040812203252854
109,4.645250361989427,0.01683671751355356,0.018520389264908912
110,3.2983129609051423,0.09091827457318921,0.010102030508132135
111,4.027342829242011,0.02693874802168569,0.013469374010842845
112,0.3855608310603765,0.05724483954608209,0.018520389264908912
113,4.352291477253595,0.0303060915243964,0.03367343502710712
114,3.3202006936727617,0.010102030508132135,0.0050510152540660675
115,4.697444186281443,0.07408155705963565,0.011785702259487489
116,3.653567700441122,0.06734687005421423,0.02020406101626427
117,4.694076842778732,0.11785702259487489,0.0067346870054214225
118,4.561066774421659,0.0151530457621982,0.011785702259487489
119,4.0222918139879456,0.045459137286594606,0.010102030508132135
120,4.087955012290804,0.011785702259487489,0.0033673435027107112
121,4.42637303431323,0.03872445028117318,0.0050510152540660675
122,4.0222918139879456,0.06566319830285887,0.010102030508132135
123,4.4853015456106675,0.10102030508132136,0.028622419773041044
