contacts,Infection probability mean,Infection probability Q0.025,Infection probability Q0.975,Fit
1.0,0.06971203368796554,0.05802531843400797,0.08003829022427131,0.04936565362459944
2.0,0.12421950692003497,0.10013829519738496,0.14000502891626854,0.09629433949141497
3.0,0.15993224202179426,0.13057684550221862,0.18157523194836628,0.14090636010667157
4.0,0.1733872768355527,0.14565772669220947,0.20633780332056192,0.18331607916474202
5.0,0.26213737600598913,0.22338199513381995,0.2951094890510949,0.2236322147214751
6.0,0.29532157982862206,0.24334507042253523,0.33507042253521124,0.26195811789483214
7.0,0.31295410242778665,0.2644249512670565,0.35448343079922023,0.2983920378072834
8.0,0.3406607457240369,0.28565400843881855,0.3894514767932489,0.3330273734491501
9.0,0.3795766970671913,0.3261406844106464,0.44201520912547504,0.3659529131085486
10.0,0.38779402415766057,0.3273989898989899,0.45202020202020204,0.3972530619817183
11.0,0.4504586322768141,0.37516233766233764,0.5256493506493506,0.4270080585472167
12.0,0.48855127173711244,0.415929203539823,0.568362831858407,0.45529418025866164
13.0,0.47912801484230044,0.4035714285714286,0.5459183673469388,0.482183939083316
14.0,0.5369871092762659,0.4457831325301205,0.619879518072289,0.5077462673877835
15.0,0.5208291708291709,0.4357142857142857,0.6071428571428571,0.5320466946473343
16.0,0.5525083612040134,0.47043478260869565,0.6299999999999999,0.5551475154318605
17.0,0.5981161695447409,0.5102040816326531,0.6882653061224488,0.5771079490990938
18.0,0.6143631649249628,0.5056179775280899,0.6966292134831461,0.5979842916044643
19.0,0.6482928835870012,0.5529411764705883,0.7529411764705882,0.6178300598167663
20.0,0.617291799109981,0.5234848484848484,0.7272727272727273,0.6366961287095857
21.0,0.5710955710955712,0.45614035087719296,0.7192982456140351,0.6546308617801844
22.0,0.6692095783004874,0.568939393939394,0.7727272727272727,0.6716802350301703
23.0,0.7234334293157824,0.6078431372549019,0.8323529411764703,0.6878879548257807
24.0,0.6846153846153846,0.5833333333333334,0.7833333333333333,0.7032955699399166
25.0,0.7366771159874608,0.6301724137931035,0.8275862068965517,0.7179425780631468
26.0,0.6649861766140838,0.5581395348837209,0.7779069767441857,0.731866527056729
27.0,0.7857420357420357,0.6666666666666666,0.8888888888888888,0.7451031112072074
28.0,0.6875,0.5484375,0.8125,0.7576862627293405
29.0,0.6659810777457836,0.5401960784313726,0.7843137254901961,0.769648238751926
30.0,0.7475078113375987,0.6287234042553191,0.851063829787234,0.7810197040095148
31.0,0.7592180546726001,0.6488636363636363,0.8738636363636361,0.7918298094519934
32.0,0.7947346770876182,0.7058823529411765,0.9117647058823529,0.8021062669735533
33.0,0.8709207459207459,0.7708333333333334,0.9583333333333334,0.8118754204526157
34.0,0.891456369717239,0.8043478260869565,0.9663043478260868,0.8211623132848253
35.0,0.9020979020979021,0.8,0.9714285714285714,0.8299907525822312
36.0,0.8282993602142539,0.723404255319149,0.9148936170212766,0.8383833702032356
37.0,0.8637362637362637,0.7714285714285715,0.9428571428571428,0.8463616807697578
38.0,0.8444528444528445,0.7567567567567568,0.9459459459459459,0.8539461368203436
39.0,0.867316893632683,0.7631578947368421,0.9473684210526315,0.8611561812406051
40.0,0.8285969349799137,0.7351063829787234,0.9148936170212766,0.8680102971053981
41.0,0.8999125874125874,0.8239583333333333,0.9583333333333334,0.8745260550605067
42.0,0.8589743589743588,0.775,0.9523809523809523,0.8807201583653019
43.0,0.8865578865578866,0.8122222222222222,0.9555555555555556,0.8866084857118375
44.0,0.879646669120353,0.7894736842105263,0.9473684210526315,0.8922061319301557
45.0,0.925339366515837,0.8529411764705882,1.0,0.8975274466841474
46.0,0.917892452375211,0.8620689655172413,0.9655172413793104,0.9025860712571661
47.0,0.9156375539354262,0.851063829787234,0.9787234042553191,0.9073949735216963
48.0,0.9227358007845812,0.8536585365853658,0.975609756097561,0.9119664811827211
49.0,0.9102293055781427,0.8372093023255814,0.9767441860465116,0.9163123133800095
50.0,0.9024231582371118,0.8267441860465117,0.9767441860465116,0.920443610730336
51.0,0.9286395422759061,0.8636363636363636,1.0,0.924370963886646
52.0,0.9381387842926305,0.8717948717948718,1.0,0.9281044406873802
53.0,0.9164425318271472,0.8461538461538461,0.9743589743589743,0.9316536119655539
54.0,0.9545454545454546,0.9072916666666667,1.0,0.9350275760837548
55.0,0.9066433566433567,0.825,0.975,0.9382349822579548
56.0,0.9414538949422671,0.8604651162790697,1.0,0.9412840527299258
57.0,0.9001554001554,0.8333333333333334,0.9814814814814815,0.9441826038451006
58.0,0.9443970663482856,0.8780487804878049,1.0,0.9469380660899104
59.0,0.9469167196439926,0.8988636363636363,1.0,0.9495575031399672
60.0,0.9183519183519185,0.8378378378378378,0.972972972972973,0.9520476299679195
