Infection probability,Density,Diagnosis probability,Agents infected at t=0
0.6435472397984628,0.02097902097902098,,
0.6481676449873636,0.006993006993006993,,
0.6527880501762643,0.04195804195804196,,
0.657408455365165,0.0,,
0.6620288605540657,0.027972027972027972,,
0.6666492657429665,0.06293706293706294,,
0.6712696709318673,0.06293706293706294,,
0.675890076120768,0.07692307692307693,,
0.6805104813096687,0.06993006993006994,,
0.6851308864985695,0.13286713286713286,,
0.6897512916874702,0.21678321678321677,,
0.6943716968763709,0.1258741258741259,,
0.6989921020652716,0.1048951048951049,,
0.7036125072541723,0.027972027972027972,,
0.7082329124430731,0.02097902097902098,,
,0.02097902097902098,0.22470594798021631,
,0.027972027972027972,0.22994636716122435,
,0.20279720279720279,0.2351867863422324,
,0.13286713286713286,0.24042720552324043,
,0.13986013986013987,0.24566762470424847,
,0.17482517482517482,0.2509080438852565,
,0.07692307692307693,0.2561484630662646,
,0.06993006993006994,0.26138888224727264,
,0.013986013986013986,0.2666293014282807,
,0.027972027972027972,0.2718697206092887,
,0.02097902097902098,0.27711013979029675,
,0.03496503496503497,0.2823505589713048,
,0.027972027972027972,0.2875909781523128,
,0.013986013986013986,0.29283139733332086,
,0.013986013986013986,0.2980718165143289,
,0.013986013986013986,,9.5
,0.04195804195804196,,10.5
,0.0979020979020979,,11.5
,0.055944055944055944,,12.5
,0.11888111888111888,,13.5
,0.18181818181818182,,14.5
,0.26573426573426573,,15.5
,0.11888111888111888,,16.5
,0.055944055944055944,,17.5
,0.04895104895104895,,18.5
