t,Rectum,Semen,Model
2.66,,,0.20607999999999993
2.67,,,0.20348999999999995
2.68,,,0.20111999999999997
2.69,,,0.1987899999999999
2.7,,,0.19613999999999987
2.71,,,0.1932799999999999
2.72,,,0.1907199999999999
2.73,,,0.18802999999999992
2.74,,,0.18536999999999992
2.75,,,0.18308999999999997
2.76,,,0.18053999999999992
2.77,,,0.1783999999999999
2.78,,,0.1761999999999999
2.79,,,0.17383999999999988
2.8,,,0.17160999999999993
2.81,,,0.16913999999999996
2.82,,,0.16684
2.83,,,0.16462999999999994
2.84,,,0.16227999999999998
2.85,,,0.16006999999999993
2.86,,,0.15782999999999991
2.87,,,0.15562999999999994
2.8761271950640723,0.2448979591836734,,
2.88,,,0.15357999999999994
2.89,,,0.15135999999999994
2.894985808893093,,0.2675736961451247,
2.9,,,0.14939999999999998
2.91,,,0.14742
2.92,,,0.14517999999999998
2.93,,,0.14303999999999994
2.94,,,0.14103
2.95,,,0.1392
2.96,,,0.13747999999999994
2.97,,,0.13557999999999992
2.98,,,0.1340499999999999
2.99,,,0.13205999999999984
3.0,,,0.1302399999999998
3.01,,,0.12858999999999976
3.0185097294731844,0.1836734693877551,,
3.02,,,0.12677999999999978
3.03,,,0.12492999999999976
3.04,,,0.12317999999999973
3.05,,,0.12151999999999974
3.06,,,0.11980999999999975
3.07,,,0.11811999999999978
3.08,,,0.11648999999999976
3.09,,,0.11489999999999978
3.1,,,0.11341999999999974
3.11,,,0.1118199999999997
3.12,,,0.1104299999999997
3.13,,,0.10901999999999967
3.1362346263008516,,0.2086167800453514,
3.14,,,0.1073799999999997
3.15,,,0.1058899999999997
3.16,,,0.10451999999999972
3.17,,,0.10278999999999971
3.18,,,0.10133999999999976
3.19,,,0.09974999999999978
3.2,,,0.09830999999999979
3.21,,,0.09696999999999978
3.22,,,0.09536999999999973
3.23,,,0.09404999999999974
3.24,,,0.0927699999999998
3.25,,,0.09159999999999979
3.26,,,0.09030999999999978
3.27,,,0.08904999999999974
3.28,,,0.08768999999999971
3.29,,,0.0864499999999997
3.3,,,0.08528999999999964
3.31,,,0.08420999999999967
3.32,,,0.0826199999999997
3.33,,,0.08150999999999964
3.34,,,0.08033999999999963
3.35,,,0.07914999999999961
3.36,,,0.07789999999999964
3.37,,,0.07693999999999968
3.38,,,0.07593999999999967
3.39,,,0.07486999999999966
3.4,,,0.07372999999999963
3.41,,,0.07268999999999959
3.42,,,0.07171999999999956
3.43,,,0.07074999999999954
3.4342478713339637,,0.1950113378684807,
3.44,,,0.06961999999999957
3.45,,,0.06847999999999954
3.46,,,0.06753999999999949
3.47,,,0.06646999999999947
3.48,,,0.06544999999999945
3.49,,,0.06440999999999941
3.5,,,0.06348999999999938
3.51,,,0.06268999999999936
3.52,,,0.0616799999999994
3.53,,,0.060789999999999456
3.54,,,0.059889999999999444
3.55,,,0.059019999999999406
3.56,,,0.058059999999999445
3.57,,,0.05712999999999946
3.58,,,0.05643999999999949
3.59,,,0.05567999999999951
3.6,,,0.0547299999999995
3.61,,,0.0539499999999995
3.618732261116367,,0.163265306122449,
3.62,,,0.05309999999999948
3.63,,,0.052109999999999435
3.64,,,0.05132999999999943
3.65,,,0.050419999999999465
3.66,,,0.04974999999999952
3.67,,,0.048949999999999494
3.68,,,0.04803999999999953
3.69,,,0.04738999999999949
3.7,,,0.046649999999999525
3.7019458946369252,0.054421768707483,,
3.71,,,0.04595999999999956
3.72,,,0.04539999999999955
3.73,,,0.04469999999999952
3.74,,,0.04404999999999948
3.75,,,0.043269999999999476
3.76,,,0.04264999999999952
3.77,,,0.04205999999999954
3.78,,,0.04131999999999958
3.79,,,0.040779999999999594
3.8,,,0.040129999999999555
3.81,,,0.039579999999999504
3.82,,,0.03889999999999949
3.83,,,0.03830999999999951
3.8315988647114474,,0.108843537414966,
3.84,,,0.03769999999999951
3.85,,,0.03704999999999947
3.86,,,0.036589999999999456
3.87,,,0.03592999999999946
3.88,,,0.03545999999999949
3.89,,,0.03482999999999947
3.9,,,0.034159999999999524
3.901281442809682,0.0476190476190476,,
3.91,,,0.03359999999999952
3.92,,,0.03310999999999953
3.93,,,0.03264999999999951
3.94,,,0.03201999999999949
3.95,,,0.031449999999999534
3.96,,,0.03094999999999959
3.97,,,0.030519999999999547
3.98,,,0.03015999999999952
3.99,,,0.02964999999999951
4.0,,,0.02915999999999952
4.0009492168960605,0.0249433106575963,,
4.01,,,0.028889999999999527
4.02,,,0.02817999999999954
4.03,,,0.027739999999999543
4.04,,,0.0273099999999995
4.05,,,0.02679999999999949
4.06,,,0.02634999999999954
4.07,,,0.025849999999999596
4.08,,,0.025399999999999645
4.09,,,0.024969999999999604
4.1,,,0.024599999999999622
4.11,,,0.02420999999999962
4.12,,,0.023729999999999585
4.13,,,0.023349999999999538
4.14,,,0.022949999999999582
4.15,,,0.02261999999999953
4.16,,,0.022219999999999573
4.17,,,0.021869999999999612
4.18,,,0.02149999999999963
4.19,,,0.021119999999999584
4.2,,,0.02082999999999957
4.21,,,0.020609999999999573
4.22,,,0.02029999999999954
4.23,,,0.019919999999999494
4.24,,,0.019579999999999487
4.25,,,0.019309999999999494
4.26,,,0.019019999999999482
4.27,,,0.01868999999999943
4.28,,,0.01852999999999938
4.29,,,0.0181599999999994
4.299905392620624,,0.0657596371882086,
4.299952539155197,0.0249433106575963,,
4.3,,,0.017819999999999392
4.31,,,0.01750999999999936
4.32,,,0.017229999999999412
4.33,,,0.016949999999999465
4.34,,,0.016799999999999482
4.35,,,0.01654999999999951
4.36,,,0.016269999999999563
4.37,,,0.01607999999999954
4.38,,,0.015789999999999527
4.39,,,0.01550999999999958
4.3992431409649955,,0.0385487528344671,
4.4,,,0.015359999999999596
4.41,,,0.015089999999999604
4.42,,,0.014799999999999591
4.43,,,0.014569999999999639
4.44,,,0.01434999999999964
4.45,,,0.014049999999999674
4.46,,,0.013829999999999676
4.47,,,0.013579999999999703
4.470811580446132,0.0113378684807256,,
4.48,,,0.013339999999999685
4.49,,,0.013159999999999727
4.5,,,0.012969999999999704
4.51,,,0.012749999999999706
4.52,,,0.012429999999999719
4.53,,,0.012169999999999681
4.54,,,0.011909999999999643
4.55,,,0.01177999999999968
4.56,,,0.011579999999999702
4.57,,,0.01134999999999975
4.58,,,0.011199999999999766
4.59,,,0.011069999999999802
4.6,,,0.010929999999999773
4.61,,,0.01069999999999982
4.62,,,0.010579999999999812
4.63,,,0.010409999999999808
4.64,,,0.010199999999999765
4.65,,,0.009989999999999721
4.66,,,0.009829999999999672
4.67,,,0.009709999999999663
4.68,,,0.00955999999999968
4.69,,,0.009439999999999671
4.7,,,0.009239999999999693
4.71,,,0.00902999999999965
4.72,,,0.008839999999999626
4.73,,,0.008639999999999648
4.74,,,0.00843999999999967
4.75,,,0.008269999999999667
4.76,,,0.008129999999999638
4.77,,,0.00788999999999962
4.78,,,0.007739999999999636
4.79,,,0.0076299999999995816
4.8,,,0.007539999999999547
4.81,,,0.007389999999999564
4.82,,,0.007289999999999575
4.83,,,0.007169999999999566
4.84,,,0.007089999999999597
4.85,,,0.006949999999999568
4.86,,,0.006859999999999533
4.87,,,0.006739999999999524
4.88,,,0.006659999999999555
4.89,,,0.006579999999999586
4.9,,,0.006439999999999557
4.91,,,0.006359999999999588
4.92,,,0.00617999999999963
4.93,,,0.006109999999999616
4.94,,,0.005999999999999561
4.95,,,0.005859999999999532
4.96,,,0.005789999999999518
4.97,,,0.005719999999999503
4.98,,,0.005619999999999514
4.99,,,0.005539999999999545
5.0,,,0.005429999999999491
5.01,,,0.005339999999999456
5.02,,,0.005259999999999487
5.03,,,0.005199999999999538
5.04,,,0.005149999999999544
5.05,,,0.005049999999999555
5.06,,,0.004869999999999597
5.07,,,0.004779999999999562
5.08,,,0.004609999999999559
5.09,,,0.00452999999999959
5.1,,,0.004449999999999621
5.11,,,0.004389999999999672
5.12,,,0.0043199999999996574
5.13,,,0.004289999999999683
5.14,,,0.0042199999999996685
5.15,,,0.0040999999999996595
5.16,,,0.004069999999999685
5.17,,,0.004009999999999736
5.18,,,0.0039199999999997015
5.19,,,0.0038399999999997325
5.2,,,0.0037599999999997635
5.21,,,0.0037399999999997435
5.22,,,0.0036399999999997545
5.23,,,0.00356999999999974
5.24,,,0.0034799999999997056
5.25,,,0.0033999999999997366
5.26,,,0.0033399999999997876
5.27,,,0.0032799999999998386
5.28,,,0.003249999999999864
5.29,,,0.0031999999999998696
5.3,,,0.0031399999999999206
5.31,,,0.0030799999999999716
5.32,,,0.0030599999999999516
5.33,,,0.002969999999999917
5.34,,,0.002929999999999877
5.35,,,0.0028999999999999027
5.36,,,0.002809999999999868
