t,Only vaccination mean,Only vaccination Q0.025,Only vaccination Q0.975,Only infection mean,Only infection Q0.025,Only infection Q0.975,Infection and vaccination mean,Infection and vaccination Q0.025,Infection and vaccination Q0.975
0.0,1.5169415626016873,0.8158004727153488,2.519840250616387,1.3377776877790013,0.7202912319102748,2.2256312364004165,0.7296690179072548,0.3904254210979787,1.218110819745743
1.0,1.166978914366981,0.612194600066183,1.8495156935004053,0.9731135498828941,0.5294829061402397,1.552940838500998,0.5889932534665699,0.3084814969235566,0.9669046805498746
2.0,1.1172423961165658,0.4405829817273089,1.8124907569920616,0.7494941880090265,0.302388226818952,1.3296145438808902,0.4713515022189734,0.16822695609972654,0.91084952896328
3.0,1.1397259571522433,0.3354035541357534,1.8389441541224285,0.6304166683159453,0.1469053007130366,1.2958405287172114,0.3752023769037067,3.59627161357667e-16,0.95501562443738
4.0,1.1453943845746621,0.30589795428333605,1.8021826669671035,0.5837816848623921,3.8635107123354265e-16,1.3318063158338147,0.3171477831429163,0.0,1.0368143416064304
5.0,1.1289781038422109,0.2804076099899069,1.7387861109881502,0.5519692285640099,0.0,1.3797665273352142,0.2692056677098713,-8.875018256637259e-17,1.0823394384728657
6.0,1.1053040761124298,0.25878947274623854,1.6603010236145548,0.5150752709380298,0.0,1.4161882028080635,0.21934837135644114,-1.0586614887652716e-16,1.0725343799911826
7.0,1.0829425426135466,0.20866749558369702,1.5850643437380214,0.4700332716369603,0.0,1.4270557749883075,0.1710173987708541,-1.1473295858981193e-17,1.0229140184533119
8.0,1.0624391923419731,0.15278119995527406,1.5153979343314428,0.4225556207921235,0.0,1.4169203112869553,0.1297698920305122,0.0,0.935719617973558
9.0,1.0426378732760446,0.05782970405389013,1.4577295368071206,0.375092218166619,0.0,1.4021795787509197,0.09559128282126024,0.0,0.8422363387782543
10.0,1.0205625418827273,0.0,1.405357245156349,0.3290786548402897,0.0,1.3591467321965158,0.07059969712740066,0.0,0.7387914822581304
11.0,0.9953571737811812,0.0,1.359601325612548,0.2877145652602344,0.0,1.3148834464740757,0.05119632321517279,0.0,0.6123519080286269
12.0,0.9671352818213435,0.0,1.3219956904586383,0.24946676282629968,0.0,1.2682131451487324,0.03646442517837172,0.0,0.4770889648561372
13.0,0.9368895496272617,0.0,1.28460379579436,0.21483816341343137,0.0,1.2222436841286661,0.02662804288186217,0.0,0.3405493108089369
14.0,0.9042483243476511,0.0,1.2504199668865128,0.18424266851765883,0.0,1.1685849935192008,0.019228929652877425,0.0,0.223292089796397
15.0,0.8705913371207143,0.0,1.2184719310704024,0.15790930174215526,0.0,1.1135908358331734,0.013622689648144809,0.0,0.14275108468170492
16.0,0.8356545197762957,0.0,1.1836607097916705,0.13437908836097187,0.0,1.0580565566863087,0.009946850857444739,0.0,0.053758385370947154
17.0,0.8018412380188822,0.0,1.1555968204896112,0.11455247346941405,0.0,1.0138695093412204,0.007280516368853039,0.0,0.0
18.0,0.7685412721192643,0.0,1.1237570175599,0.09695151412849304,0.0,0.9550595328530606,0.005530648106036518,0.0,0.0
19.0,0.7376591815808056,0.0,1.0944943116824628,0.08328076481029406,0.0,0.8999044556685238,0.0039765878150824375,0.0,0.0
20.0,0.7088264073338695,0.0,1.0659876152253942,0.07168661675340465,0.0,0.8516089674940392,0.0029710471086964534,0.0,0.0
21.0,0.6820038977984556,0.0,1.0357086272626763,0.060968995938007225,0.0,0.8000778642420652,0.002135879123747214,0.0,0.0
22.0,0.6579514347079259,0.0,1.0057106434412277,0.05194646367580752,0.0,0.7474515377977583,0.001602084103974577,0.0,0.0
23.0,0.6363618938742115,0.0,0.9745828931233422,0.0447816666240497,0.0,0.6861603740086678,0.0012807096039693345,0.0,0.0
24.0,0.6174490129710267,0.0,0.9414293164506152,0.03884166494198102,0.0,0.6266773741689186,0.0009351798745749611,0.0,0.0
25.0,0.6006521573736691,0.0,0.9098097838624175,0.03353971160658643,0.0,0.5521658163742812,0.0007708634268217653,0.0,0.0
