percentage population,mean,Q0.025,SP Q0.975
10,0.026008018987107785,0.003535710677846246,0.08771929824561403
20,0.03730722252795189,0.003704077852981781,0.13166313095598883
30,0.05026560804922256,0.003872445028117319,0.1789743071690743
40,0.0730943131690682,0.004040812203252854,0.26500993366333303
50,0.12007617260673126,0.0058928511297437446,0.43186180422264875
60,0.18689345136461005,0.007744890056234638,0.6475401555712699
70,0.2912841611700082,0.007913257231370171,0.9600717244166072
80,0.48786991033682614,0.009765296157861064,1.3971108192746742
90,0.79942288912892,0.013301006835707306,1.9698117654981975
100,1.2783442607162174,0.018520389264908912,2.6543506078055015
