inf_prob,diag_prob,i0,behaviour_change,behaviour_change_rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total_immunized,LL
0.08,0.35,13.0,0.5,5e-05,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13861.0,-inf
0.13,0.25,14.0,0.9,0.0005,0.0,5.0,9.0,14.0,16.0,18.0,31.0,37.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13863.0,-inf
0.98,0.26,12.0,0.3,0.05,0.0,3410.0,4272.0,1183.0,1334.0,927.0,437.0,169.0,54.0,22.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36584.0,-inf
0.97,0.35,7.0,0.7,0.05,0.0,1426.0,8318.0,552.0,844.0,513.0,247.0,106.0,35.0,12.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35954.0,-inf
0.67,0.32,12.0,0.1,0.05,0.0,711.0,1635.0,3816.0,4118.0,2419.0,572.0,36.0,10.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17879.0,-504.4740531375817
0.16,0.3,6.0,0.5,0.05,0.0,424.0,666.0,775.0,903.0,939.0,586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13859.0,-inf
0.49,0.31,10.0,0.2,0.0005,0.0,1.0,14.0,18.0,38.0,32.0,60.0,75.0,104.0,120.0,168.0,202.0,249.0,285.0,345.0,375.0,333.0,418.0,426.0,405.0,412.0,375.0,396.0,356.0,276.0,248.0,14641.0,-3985.3172330841703
0.98,0.3,9.0,0.1,0.1,0.0,6134.0,3321.0,817.0,916.0,563.0,267.0,91.0,31.0,13.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35150.0,-inf
0.62,0.34,14.0,0.6,0.1,0.0,2039.0,2785.0,4167.0,3155.0,1039.0,148.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17130.0,-1542.0808231985889
0.97,0.35,8.0,0.2,0.005,0.0,132.0,3579.0,2017.0,1743.0,1562.0,791.0,354.0,137.0,50.0,16.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35788.0,-inf
